category,price,link,other_colors,height,depth,width,materials,cost
Beds,895,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/,No,110,54,96,wood,644.4
Beds,2111,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s89326463/,No,43,40,140,steel,1646.58
Beds,995,https://www.ikea.com/sa/en/p/vattviken-armchair-bed-lerhaga-light-grey-50468953/,No,86,83,92,wood,756.2
Beds,575,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-20400691/,No,47,54,96,wood,442.75
Beds,920,https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s19175957/,Yes,15,59,196,wood,717.6
Beds,575,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-s79902935/,Yes,20,54,146,wood,402.5
Beds,1495,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-white-90349326/,No,18,70,89,steel,1196
Beds,670,https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s79012991/,Yes,15,59,105,wood,495.8
Beds,2600.5,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-doors-white-s89305446/,No,43,40,143,steel,1976.38
Beds,399,https://www.ikea.com/sa/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/,No,78,85,128,steel,283.29
Beds,2290,https://www.ikea.com/sa/en/p/nordli-bed-frame-w-storage-and-headboard-white-s09241420/,Yes,16,51,240,wood,1809.1
Beds,570,https://www.ikea.com/sa/en/p/songesand-bed-frame-with-2-storage-boxes-brown-s69241097/,Yes,14,64,153,wood,404.7
Beds,100,https://www.ikea.com/sa/en/p/lycksele-storage-box-2-seat-sofa-bed-black-60116960/,No,21,55,92,plastic,70
Beds,1495,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-grey-60372276/,No,18,70,89,wood,1166.1
Beds,620,https://www.ikea.com/sa/en/p/slaekt-underbed-with-storage-white-s99239451/,No,45,57,95,steel,458.8
Beds,1470,https://www.ikea.com/sa/en/p/nyhamn-sofa-bed-with-triple-cushion-with-foam-mattress-skiftebo-yellow-s09306416/,Yes,90,97,200,wood,1073.1
Beds,1395,https://www.ikea.com/sa/en/p/slaekt-bed-frame-w-storage-slatted-bedbase-white-s29291956/,No,14,57,96,wood,1032.3
Beds,995,https://www.ikea.com/sa/en/p/askeby-two-seat-sofa-bed-black-70284203/,No,72,72,149,wood,766.15
Beds,220,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-20228709/,Yes,111,28,146,wood,176
Beds,2185,https://www.ikea.com/sa/en/p/hemnes-day-bed-w-3-drawers-2-mattresses-white-husvika-firm-s09186126/,Yes,18,70,89,wood,1682.45
Beds,1595,https://www.ikea.com/sa/en/p/nordli-bed-frame-with-storage-white-40349847/,Yes,16,51,140,wood,1116.5
Beds,1848,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-with-backrests-orrsta-light-grey-s39277498/,Yes,84,93,113,plastic,1441.44
Beds,200,https://www.ikea.com/sa/en/p/vitval-desk-top-white-40411410/,No,73,45,95,steel,142
Beds,2307,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-drawers-white-fonnes-s89302914/,No,43,40,140,wood,1730.25
Beds,1195,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-storage-white-10453086/,No,43,40,140,wood,956
Beds,3339,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-6-doors-12-drawers-white-fonnes-s09324284/,No,43,40,140,wood,2537.64
Beds,1095,https://www.ikea.com/sa/en/p/brimnes-day-bed-frame-with-2-drawers-white-00228705/,No,21,53,86,wood,766.5
Beds,1245,https://www.ikea.com/sa/en/p/songesand-bed-frame-with-4-storage-boxes-brown-loenset-s29241160/,Yes,14,64,153,wood,883.95
Beds,1260,https://www.ikea.com/sa/en/p/slaekt-bed-frame-with-3-storage-boxes-white-s89386070/,No,35,53,96,wood,995.4
Beds,1445,https://www.ikea.com/sa/en/p/lycksele-murbo-two-seat-sofa-bed-ebbarp-black-white-s19166180/,Yes,87,100,142,steel,1156
Beds,1767,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-2-drawers-white-fonnes-s99302918/,No,43,40,141,steel,1307.58
Beds,2905,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-doors-6-drawers-white-fonnes-ridabu-s59302915/,No,43,40,141,steel,2324
Beds,1160,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-hillared-dark-grey-s09149879/,Yes,45,100,80,steel,893.2
Beds,220,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-00400692/,No,110,28,96,plastic,167.2
Beds,2163.5,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-2-door-3-drawers-white-fonnes-s99302975/,No,43,40,141,steel,1622.625
Beds,1995,https://www.ikea.com/sa/en/p/graelviken-3-seat-sofa-bed-grey-70340567/,No,74,86,225,steel,1476.3
Beds,2295,https://www.ikea.com/sa/en/p/holmsund-three-seat-sofa-bed-orrsta-light-white-grey-s89240761/,Yes,96,99,230,wood,1606.5
Beds,1611,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s09302913/,No,42,40,141,steel,1288.8
Beds,3595,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/,Yes,104,98,196,steel,2804.1
Beds,7610,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-bed-5-seat-with-chaise-longue-ljungen-dark-red-s49278591/,Yes,104,164,252,steel,5631.4
Beds,1795,https://www.ikea.com/sa/en/p/brimnes-day-bed-w-2-drawers-2-mattresses-white-malfors-medium-firm-s19129932/,Yes,21,53,86,steel,1436
Beds,295,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,No,35,53,62,wood,224.2
Beds,1991,https://www.ikea.com/sa/en/p/brathult-corner-sofa-bed-borred-grey-green-s09217849/,Yes,69,78,212,steel,1533.07
Beds,2210,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-storage-white-s19302917/,No,43,40,140,steel,1635.4
Beds,1445,https://www.ikea.com/sa/en/p/nyhamn-3-seat-sofa-bed-with-pocket-spring-mattress-skiftebo-yellow-s09306435/,Yes,90,97,200,wood,1112.65
Beds,9585,https://www.ikea.com/sa/en/p/lidhult-corner-sofa-bed-6-seat-with-chaise-longue-lejde-red-brown-red-brown-s29277639/,Yes,102,164,387,steel,7668
